"iter","env2_sgd_2500-3000 - EMA/CV","env2_sgd_2500-3000 - EMA/CV__MIN","env2_sgd_2500-3000 - EMA/CV__MAX","env2_sgd_2500-3000 - _step","env2_sgd_2500-3000 - _step__MIN","env2_sgd_2500-3000 - _step__MAX","env2_lion_shock_2500-3000 - EMA/CV","env2_lion_shock_2500-3000 - EMA/CV__MIN","env2_lion_shock_2500-3000 - EMA/CV__MAX","env2_lion_shock_2500-3000 - _step","env2_lion_shock_2500-3000 - _step__MIN","env2_lion_shock_2500-3000 - _step__MAX","env2_muon_shock_2500-3000 - EMA/CV","env2_muon_shock_2500-3000 - EMA/CV__MIN","env2_muon_shock_2500-3000 - EMA/CV__MAX","env2_muon_shock_2500-3000 - _step","env2_muon_shock_2500-3000 - _step__MIN","env2_muon_shock_2500-3000 - _step__MAX","env2_adamw_shock_2500-3000 - EMA/CV","env2_adamw_shock_2500-3000 - EMA/CV__MIN","env2_adamw_shock_2500-3000 - EMA/CV__MAX","env2_adamw_shock_2500-3000 - _step","env2_adamw_shock_2500-3000 - _step__MIN","env2_adamw_shock_2500-3000 - _step__MAX"
"1000","0.22236544613496864","0.22236544613496864","0.22236544613496864","20","20","20","0.29992532745284084","0.29992532745284084","0.29992532745284084","20","20","20","0.333104166339368","0.333104166339368","0.333104166339368","20","20","20","0.5534300992155752","0.5534300992155752","0.5534300992155752","20","20","20"
"1050","0.24800308376279495","0.24800308376279495","0.24800308376279495","21","21","21","0.30140836259323334","0.30140836259323334","0.30140836259323334","21","21","21","0.3287490545044635","0.3287490545044635","0.3287490545044635","21","21","21","0.552435592544082","0.552435592544082","0.552435592544082","21","21","21"
"1100","0.253254071839459","0.253254071839459","0.253254071839459","22","22","22","0.30084659015043874","0.30084659015043874","0.30084659015043874","22","22","22","0.3325524064558992","0.3325524064558992","0.3325524064558992","22","22","22","0.5363314182459524","0.5363314182459524","0.5363314182459524","22","22","22"
"1150","0.2691338942016586","0.2691338942016586","0.2691338942016586","23","23","23","0.3029886968927426","0.3029886968927426","0.3029886968927426","23","23","23","0.331385096800533","0.331385096800533","0.331385096800533","23","23","23","0.5342810949475167","0.5342810949475167","0.5342810949475167","23","23","23"
"1200","0.243817630401535","0.243817630401535","0.243817630401535","24","24","24","0.28925832995240935","0.28925832995240935","0.28925832995240935","24","24","24","0.31340997479781146","0.31340997479781146","0.31340997479781146","24","24","24","0.5115160026417759","0.5115160026417759","0.5115160026417759","24","24","24"
"1250","0.23633666900364855","0.23633666900364855","0.23633666900364855","25","25","25","0.29916136172283336","0.29916136172283336","0.29916136172283336","25","25","25","0.3391412231793458","0.3391412231793458","0.3391412231793458","25","25","25","0.5078796220995482","0.5078796220995482","0.5078796220995482","25","25","25"
"1300","0.26343060873168545","0.26343060873168545","0.26343060873168545","26","26","26","0.29466314434984014","0.29466314434984014","0.29466314434984014","26","26","26","0.3291462327001718","0.3291462327001718","0.3291462327001718","26","26","26","0.5071817801558289","0.5071817801558289","0.5071817801558289","26","26","26"
"1350","0.2648598635170905","0.2648598635170905","0.2648598635170905","27","27","27","0.2911980322479599","0.2911980322479599","0.2911980322479599","27","27","27","0.3134409879835708","0.3134409879835708","0.3134409879835708","27","27","27","0.48718960484741053","0.48718960484741053","0.48718960484741053","27","27","27"
"1400","0.2686467772805885","0.2686467772805885","0.2686467772805885","28","28","28","0.2902547979261643","0.2902547979261643","0.2902547979261643","28","28","28","0.3073198154694649","0.3073198154694649","0.3073198154694649","28","28","28","0.48872005971243393","0.48872005971243393","0.48872005971243393","28","28","28"
"1450","0.2519830709597337","0.2519830709597337","0.2519830709597337","29","29","29","0.28799435400442236","0.28799435400442236","0.28799435400442236","29","29","29","0.30837156475882643","0.30837156475882643","0.30837156475882643","29","29","29","0.4933662718998038","0.4933662718998038","0.4933662718998038","29","29","29"
