"iter","env2_sgd_2500-3000 - train/loss_instant","env2_sgd_2500-3000 - train/loss_instant__MIN","env2_sgd_2500-3000 - train/loss_instant__MAX","env2_sgd_2500-3000 - _step","env2_sgd_2500-3000 - _step__MIN","env2_sgd_2500-3000 - _step__MAX","env2_lion_shock_2500-3000 - train/loss_instant","env2_lion_shock_2500-3000 - train/loss_instant__MIN","env2_lion_shock_2500-3000 - train/loss_instant__MAX","env2_lion_shock_2500-3000 - _step","env2_lion_shock_2500-3000 - _step__MIN","env2_lion_shock_2500-3000 - _step__MAX","env2_muon_shock_2500-3000 - train/loss_instant","env2_muon_shock_2500-3000 - train/loss_instant__MIN","env2_muon_shock_2500-3000 - train/loss_instant__MAX","env2_muon_shock_2500-3000 - _step","env2_muon_shock_2500-3000 - _step__MIN","env2_muon_shock_2500-3000 - _step__MAX","env2_adamw_shock_2500-3000 - train/loss_instant","env2_adamw_shock_2500-3000 - train/loss_instant__MIN","env2_adamw_shock_2500-3000 - train/loss_instant__MAX","env2_adamw_shock_2500-3000 - _step","env2_adamw_shock_2500-3000 - _step__MIN","env2_adamw_shock_2500-3000 - _step__MAX"
"1200","6.738985061645508","6.738985061645508","6.738985061645508","24","24","24","4.3302130699157715","4.3302130699157715","4.3302130699157715","24","24","24","4.230542182922363","4.230542182922363","4.230542182922363","24","24","24","4.086217403411865","4.086217403411865","4.086217403411865","24","24","24"
"1250","6.72259521484375","6.72259521484375","6.72259521484375","25","25","25","4.376338958740234","4.376338958740234","4.376338958740234","25","25","25","4.3506388664245605","4.3506388664245605","4.3506388664245605","25","25","25","4.1658806800842285","4.1658806800842285","4.1658806800842285","25","25","25"
"1300","6.673116207122803","6.673116207122803","6.673116207122803","26","26","26","4.418705940246582","4.418705940246582","4.418705940246582","26","26","26","4.378387451171875","4.378387451171875","4.378387451171875","26","26","26","4.217452049255371","4.217452049255371","4.217452049255371","26","26","26"
"1350","6.677483558654785","6.677483558654785","6.677483558654785","27","27","27","4.194727420806885","4.194727420806885","4.194727420806885","27","27","27","4.185385704040527","4.185385704040527","4.185385704040527","27","27","27","4.005870342254639","4.005870342254639","4.005870342254639","27","27","27"
"1400","6.499881267547607","6.499881267547607","6.499881267547607","28","28","28","4.000575065612793","4.000575065612793","4.000575065612793","28","28","28","3.9988725185394287","3.9988725185394287","3.9988725185394287","28","28","28","3.842890977859497","3.842890977859497","3.842890977859497","28","28","28"
"1450","6.612491130828857","6.612491130828857","6.612491130828857","29","29","29","4.239309310913086","4.239309310913086","4.239309310913086","29","29","29","4.255566120147705","4.255566120147705","4.255566120147705","29","29","29","4.078572750091553","4.078572750091553","4.078572750091553","29","29","29"
"1500","6.6118550300598145","6.6118550300598145","6.6118550300598145","30","30","30","4.01626443862915","4.01626443862915","4.01626443862915","30","30","30","4.050527095794678","4.050527095794678","4.050527095794678","30","30","30","3.879067897796631","3.879067897796631","3.879067897796631","30","30","30"
"1550","6.671393394470215","6.671393394470215","6.671393394470215","31","31","31","4.041539669036865","4.041539669036865","4.041539669036865","31","31","31","4.109705924987793","4.109705924987793","4.109705924987793","31","31","31","3.9380218982696533","3.9380218982696533","3.9380218982696533","31","31","31"
"1600","6.729503631591797","6.729503631591797","6.729503631591797","32","32","32","4.119324207305908","4.119324207305908","4.119324207305908","32","32","32","4.180694580078125","4.180694580078125","4.180694580078125","32","32","32","4.020637035369873","4.020637035369873","4.020637035369873","32","32","32"
"1650","6.657934188842773","6.657934188842773","6.657934188842773","33","33","33","3.9717729091644287","3.9717729091644287","3.9717729091644287","33","33","33","4.018488883972168","4.018488883972168","4.018488883972168","33","33","33","3.874107837677002","3.874107837677002","3.874107837677002","33","33","33"
"1700","6.583232402801514","6.583232402801514","6.583232402801514","34","34","34","3.977203607559204","3.977203607559204","3.977203607559204","34","34","34","4.063231945037842","4.063231945037842","4.063231945037842","34","34","34","3.894599199295044","3.894599199295044","3.894599199295044","34","34","34"
"1750","6.720107078552246","6.720107078552246","6.720107078552246","35","35","35","4.029587268829346","4.029587268829346","4.029587268829346","35","35","35","4.139397144317627","4.139397144317627","4.139397144317627","35","35","35","3.969550371170044","3.969550371170044","3.969550371170044","35","35","35"
