"iter","env2_sgd_2500-3000 - EMA/Grad_Norm","env2_sgd_2500-3000 - EMA/Grad_Norm__MIN","env2_sgd_2500-3000 - EMA/Grad_Norm__MAX","env2_sgd_2500-3000 - _step","env2_sgd_2500-3000 - _step__MIN","env2_sgd_2500-3000 - _step__MAX","env2_lion_shock_2500-3000 - EMA/Grad_Norm","env2_lion_shock_2500-3000 - EMA/Grad_Norm__MIN","env2_lion_shock_2500-3000 - EMA/Grad_Norm__MAX","env2_lion_shock_2500-3000 - _step","env2_lion_shock_2500-3000 - _step__MIN","env2_lion_shock_2500-3000 - _step__MAX","env2_muon_shock_2500-3000 - EMA/Grad_Norm","env2_muon_shock_2500-3000 - EMA/Grad_Norm__MIN","env2_muon_shock_2500-3000 - EMA/Grad_Norm__MAX","env2_muon_shock_2500-3000 - _step","env2_muon_shock_2500-3000 - _step__MIN","env2_muon_shock_2500-3000 - _step__MAX","env2_adamw_shock_2500-3000 - EMA/Grad_Norm","env2_adamw_shock_2500-3000 - EMA/Grad_Norm__MIN","env2_adamw_shock_2500-3000 - EMA/Grad_Norm__MAX","env2_adamw_shock_2500-3000 - _step","env2_adamw_shock_2500-3000 - _step__MIN","env2_adamw_shock_2500-3000 - _step__MAX"
"2300","2.1415043502043885","2.1415043502043885","2.1415043502043885","46","46","46","0.33323423513768546","0.33323423513768546","0.33323423513768546","46","46","46","0.37395435640056396","0.37395435640056396","0.37395435640056396","46","46","46","0.2926783461898649","0.2926783461898649","0.2926783461898649","46","46","46"
"2350","2.354554123821377","2.354554123821377","2.354554123821377","47","47","47","0.3326947967187881","0.3326947967187881","0.3326947967187881","47","47","47","0.428317007902255","0.428317007902255","0.428317007902255","47","47","47","0.29119326823992076","0.29119326823992076","0.29119326823992076","47","47","47"
"2400","2.2181613877515787","2.2181613877515787","2.2181613877515787","48","48","48","0.3184025656372041","0.3184025656372041","0.3184025656372041","48","48","48","0.36895333495251637","0.36895333495251637","0.36895333495251637","48","48","48","0.28873555893798913","0.28873555893798913","0.28873555893798913","48","48","48"
"2450","2.436181537655408","2.436181537655408","2.436181537655408","49","49","49","0.3158024109158776","0.3158024109158776","0.3158024109158776","49","49","49","0.3508930038078735","0.3508930038078735","0.3508930038078735","49","49","49","0.2872922223285116","0.2872922223285116","0.2872922223285116","49","49","49"
"2455","2.4217281138805795","2.4217281138805795","2.4217281138805795","50","50","50","0.32017904543127496","0.32017904543127496","0.32017904543127496","50","50","50","0.3535534839247516","0.3535534839247516","0.3535534839247516","50","50","50","0.28627550111841527","0.28627550111841527","0.28627550111841527","50","50","50"
"2460","2.4153958255733916","2.4153958255733916","2.4153958255733916","51","51","51","0.322055069263443","0.322055069263443","0.322055069263443","51","51","51","0.3647448625742361","0.3647448625742361","0.3647448625742361","51","51","51","0.2852168007215932","0.2852168007215932","0.2852168007215932","51","51","51"
"2465","2.3503008571973503","2.3503008571973503","2.3503008571973503","52","52","52","0.32389486161221415","0.32389486161221415","0.32389486161221415","52","52","52","0.3716426450851374","0.3716426450851374","0.3716426450851374","52","52","52","0.2965926958705942","0.2965926958705942","0.2965926958705942","52","52","52"
"2470","2.3607484526330733","2.3607484526330733","2.3607484526330733","53","53","53","0.32624442796713626","0.32624442796713626","0.32624442796713626","53","53","53","0.3905272370058391","0.3905272370058391","0.3905272370058391","53","53","53","0.28979250894299885","0.28979250894299885","0.28979250894299885","53","53","53"
"2475","2.3534828900616303","2.3534828900616303","2.3534828900616303","54","54","54","0.32336593102685646","0.32336593102685646","0.32336593102685646","54","54","54","0.3691334076397578","0.3691334076397578","0.3691334076397578","54","54","54","0.2778313854833049","0.2778313854833049","0.2778313854833049","54","54","54"
"2480","2.3672214995279135","2.3672214995279135","2.3672214995279135","55","55","55","0.324022274776318","0.324022274776318","0.324022274776318","55","55","55","0.35078331424518494","0.35078331424518494","0.35078331424518494","55","55","55","0.28590247088179194","0.28590247088179194","0.28590247088179194","55","55","55"
"2485","2.437867096431525","2.437867096431525","2.437867096431525","56","56","56","0.34445607184185306","0.34445607184185306","0.34445607184185306","56","56","56","0.34301323835112774","0.34301323835112774","0.34301323835112774","56","56","56","0.2917947765338848","0.2917947765338848","0.2917947765338848","56","56","56"
