"iter","env1_muon - EMA/Loss","env1_muon - EMA/Loss__MIN","env1_muon - EMA/Loss__MAX","env1_muon - _step","env1_muon - _step__MIN","env1_muon - _step__MAX","env1_lion - EMA/Loss","env1_lion - EMA/Loss__MIN","env1_lion - EMA/Loss__MAX","env1_lion - _step","env1_lion - _step__MIN","env1_lion - _step__MAX","env1_adam - EMA/Loss","env1_adam - EMA/Loss__MIN","env1_adam - EMA/Loss__MAX","env1_adam - _step","env1_adam - _step__MIN","env1_adam - _step__MAX"," env1_sgd - EMA/Loss"," env1_sgd - EMA/Loss__MIN"," env1_sgd - EMA/Loss__MAX"," env1_sgd - _step"," env1_sgd - _step__MIN"," env1_sgd - _step__MAX","env1_adamw - EMA/Loss","env1_adamw - EMA/Loss__MIN","env1_adamw - EMA/Loss__MAX","env1_adamw - _step","env1_adamw - _step__MIN","env1_adamw - _step__MAX"
"2750","0.6772570807707659","0.6772570807707659","0.6772570807707659","55","55","55","0.6942236230203573","0.6942236230203573","0.6942236230203573","55","55","55","0.6955143969447088","0.6955143969447088","0.6955143969447088","55","55","55","1.055900207735452","1.055900207735452","1.055900207735452","55","55","55","0.6962785414740551","0.6962785414740551","0.6962785414740551","2700","2700","2700"
"2800","0.7034194292353516","0.7034194292353516","0.7034194292353516","56","56","56","0.7081994596198378","0.7081994596198378","0.7081994596198378","56","56","56","0.7021250453036896","0.7021250453036896","0.7021250453036896","56","56","56","1.0282360566007047","1.0282360566007047","1.0282360566007047","56","56","56","0.6964693829790167","0.6964693829790167","0.6964693829790167","2750","2750","2750"
"2850","0.6931588800121476","0.6931588800121476","0.6931588800121476","57","57","57","0.6964853043301034","0.6964853043301034","0.6964853043301034","57","57","57","0.6899834079875431","0.6899834079875431","0.6899834079875431","57","57","57","1.0202989009673713","1.0202989009673713","1.0202989009673713","57","57","57","0.6840971620362803","0.6840971620362803","0.6840971620362803","2800","2800","2800"
"2900","0.6824234125655803","0.6824234125655803","0.6824234125655803","58","58","58","0.6821614696720536","0.6821614696720536","0.6821614696720536","58","58","58","0.6794788804443662","0.6794788804443662","0.6794788804443662","58","58","58","1.0154452669646838","1.0154452669646838","1.0154452669646838","58","58","58","0.6831518836039704","0.6831518836039704","0.6831518836039704","2850","2850","2850"
"2950","0.6870243119789174","0.6870243119789174","0.6870243119789174","59","59","59","0.6849579125402547","0.6849579125402547","0.6849579125402547","59","59","59","0.6828002292496432","0.6828002292496432","0.6828002292496432","59","59","59","1.0050608757492738","1.0050608757492738","1.0050608757492738","59","59","59","0.6974229869412096","0.6974229869412096","0.6974229869412096","2900","2900","2900"
"3000","0.6791489498670478","0.6791489498670478","0.6791489498670478","60","60","60","0.6838037021190843","0.6838037021190843","0.6838037021190843","60","60","60","0.6818291965819736","0.6818291965819736","0.6818291965819736","60","60","60","1.0193772238868561","1.0193772238868561","1.0193772238868561","60","60","60","0.6744115471753653","0.6744115471753653","0.6744115471753653","2950","2950","2950"
"3050","0.6972296823246197","0.6972296823246197","0.6972296823246197","61","61","61","0.6963726522819926","0.6963726522819926","0.6963726522819926","61","61","61","0.6944839610950201","0.6944839610950201","0.6944839610950201","61","61","61","1.0290965893737043","1.0290965893737043","1.0290965893737043","61","61","61","0.681170292788437","0.681170292788437","0.681170292788437","3000","3000","3000"
"3100","0.6912142448446562","0.6912142448446562","0.6912142448446562","62","62","62","0.6868312829600246","0.6868312829600246","0.6868312829600246","62","62","62","0.6881745424812196","0.6881745424812196","0.6881745424812196","62","62","62","1.0158180279500377","1.0158180279500377","1.0158180279500377","62","62","62","0.6749274779021694","0.6749274779021694","0.6749274779021694","3050","3050","3050"
"3150","0.6824079942923719","0.6824079942923719","0.6824079942923719","63","63","63","0.6775882672808563","0.6775882672808563","0.6775882672808563","63","63","63","0.6803638821699579","0.6803638821699579","0.6803638821699579","63","63","63","1.020129112086695","1.020129112086695","1.020129112086695","63","63","63","0.6804386397218072","0.6804386397218072","0.6804386397218072","3100","3100","3100"
"3200","0.6907034995788813","0.6907034995788813","0.6907034995788813","64","64","64","0.6857471272494691","0.6857471272494691","0.6857471272494691","64","64","64","0.684482130601102","0.684482130601102","0.684482130601102","64","64","64","1.0150451623950203","1.0150451623950203","1.0150451623950203","64","64","64","0.6743943888912978","0.6743943888912978","0.6743943888912978","3150","3150","3150"
"3250","0.6735533174621686","0.6735533174621686","0.6735533174621686","65","65","65","0.669355554557846","0.669355554557846","0.669355554557846","65","65","65","0.6733765900090994","0.6733765900090994","0.6733765900090994","65","65","65","1.0023208901153264","1.0023208901153264","1.0023208901153264","65","65","65","0.6761804802313344","0.6761804802313344","0.6761804802313344","3200","3200","3200"
"3300","0.6905438600433991","0.6905438600433991","0.6905438600433991","66","66","66","0.6871225862766103","0.6871225862766103","0.6871225862766103","66","66","66","0.6937927708249869","0.6937927708249869","0.6937927708249869","66","66","66","1.0349365300757163","1.0349365300757163","1.0349365300757163","66","66","66","0.6754320003590719","0.6754320003590719","0.6754320003590719","3250","3250","3250"
"3350","0.6778146029019522","0.6778146029019522","0.6778146029019522","67","67","67","0.6738570102185027","0.6738570102185027","0.6738570102185027","67","67","67","0.6792828785335957","0.6792828785335957","0.6792828785335957","67","67","67","1.026432323236953","1.026432323236953","1.026432323236953","67","67","67","0.6703753880290411","0.6703753880290411","0.6703753880290411","3300","3300","3300"
"3400","0.6743499398471254","0.6743499398471254","0.6743499398471254","68","68","68","0.6678845486759653","0.6678845486759653","0.6678845486759653","68","68","68","0.6706507314428957","0.6706507314428957","0.6706507314428957","68","68","68","1.012689424949595","1.012689424949595","1.012689424949595","68","68","68","0.6612723699747111","0.6612723699747111","0.6612723699747111","3350","3350","3350"
"3450","0.6691325726129452","0.6691325726129452","0.6691325726129452","69","69","69","0.6604317044486158","0.6604317044486158","0.6604317044486158","69","69","69","0.6645118271085437","0.6645118271085437","0.6645118271085437","69","69","69","1.0074918869989613","1.0074918869989613","1.0074918869989613","69","69","69","0.664636624882311","0.664636624882311","0.664636624882311","3400","3400","3400"
"3500","0.6732906693555729","0.6732906693555729","0.6732906693555729","70","70","70","0.664768547352132","0.664768547352132","0.664768547352132","70","70","70","0.6719497414434922","0.6719497414434922","0.6719497414434922","70","70","70","1.0105919083328705","1.0105919083328705","1.0105919083328705","70","70","70","0.6674364173110378","0.6674364173110378","0.6674364173110378","3450","3450","3450"
"3550","0.6662006643111122","0.6662006643111122","0.6662006643111122","71","71","71","0.6598832353180617","0.6598832353180617","0.6598832353180617","71","71","71","0.6678541065427679","0.6678541065427679","0.6678541065427679","71","71","71","1.0118690725187875","1.0118690725187875","1.0118690725187875","71","71","71","0.6619188399004178","0.6619188399004178","0.6619188399004178","3500","3500","3500"
"3600","0.6547703391872455","0.6547703391872455","0.6547703391872455","72","72","72","0.6485681526778166","0.6485681526778166","0.6485681526778166","72","72","72","0.6543877864565197","0.6543877864565197","0.6543877864565197","72","72","72","1.0045709212505078","1.0045709212505078","1.0045709212505078","72","72","72","0.6643356512672108","0.6643356512672108","0.6643356512672108","3550","3550","3550"
"3650","0.6580401988714856","0.6580401988714856","0.6580401988714856","73","73","73","0.6501624278540454","0.6501624278540454","0.6501624278540454","73","73","73","0.6582665273331364","0.6582665273331364","0.6582665273331364","73","73","73","1.0025841687361972","1.0025841687361972","1.0025841687361972","73","73","73","0.6738716793678143","0.6738716793678143","0.6738716793678143","3600","3600","3600"
