"iter","env2_sgd_2500-3000 - EMA/Loss","env2_sgd_2500-3000 - EMA/Loss__MIN","env2_sgd_2500-3000 - EMA/Loss__MAX","env2_sgd_2500-3000 - _step","env2_sgd_2500-3000 - _step__MIN","env2_sgd_2500-3000 - _step__MAX","env2_lion_shock_2500-3000 - EMA/Loss","env2_lion_shock_2500-3000 - EMA/Loss__MIN","env2_lion_shock_2500-3000 - EMA/Loss__MAX","env2_lion_shock_2500-3000 - _step","env2_lion_shock_2500-3000 - _step__MIN","env2_lion_shock_2500-3000 - _step__MAX","env2_muon_shock_2500-3000 - EMA/Loss","env2_muon_shock_2500-3000 - EMA/Loss__MIN","env2_muon_shock_2500-3000 - EMA/Loss__MAX","env2_muon_shock_2500-3000 - _step","env2_muon_shock_2500-3000 - _step__MIN","env2_muon_shock_2500-3000 - _step__MAX","env2_adamw_shock_2500-3000 - EMA/Loss","env2_adamw_shock_2500-3000 - EMA/Loss__MIN","env2_adamw_shock_2500-3000 - EMA/Loss__MAX","env2_adamw_shock_2500-3000 - _step","env2_adamw_shock_2500-3000 - _step__MIN","env2_adamw_shock_2500-3000 - _step__MAX"
"1200","1.0341641769031082","1.0341641769031082","1.0341641769031082","24","24","24","0.6652895545059798","0.6652895545059798","0.6652895545059798","24","24","24","0.6494481340246414","0.6494481340246414","0.6494481340246414","24","24","24","0.6270090541347142","0.6270090541347142","0.6270090541347142","24","24","24"
"1250","1.0329906777224138","1.0329906777224138","1.0329906777224138","25","25","25","0.6720319052326752","0.6720319052326752","0.6720319052326752","25","25","25","0.6674669387424974","0.6674669387424974","0.6674669387424974","25","25","25","0.6397152945947702","0.6397152945947702","0.6397152945947702","25","25","25"
"1300","1.0303101248475357","1.0303101248475357","1.0303101248475357","26","26","26","0.6751060707389368","0.6751060707389368","0.6751060707389368","26","26","26","0.6692708778228914","0.6692708778228914","0.6692708778228914","26","26","26","0.6443132183332541","0.6443132183332541","0.6443132183332541","26","26","26"
"1350","1.0251350707399687","1.0251350707399687","1.0251350707399687","27","27","27","0.644743073240605","0.644743073240605","0.644743073240605","27","27","27","0.6432334335944466","0.6432334335944466","0.6432334335944466","27","27","27","0.6162161952683403","0.6162161952683403","0.6162161952683403","27","27","27"
"1400","1.006716936171262","1.006716936171262","1.006716936171262","28","28","28","0.6144322925483346","0.6144322925483346","0.6144322925483346","28","28","28","0.6141273774430163","0.6141273774430163","0.6141273774430163","28","28","28","0.590380753714314","0.590380753714314","0.590380753714314","28","28","28"
"1450","1.014454704417748","1.014454704417748","1.014454704417748","29","29","29","0.6443583509927232","0.6443583509927232","0.6443583509927232","29","29","29","0.647698925948471","0.647698925948471","0.647698925948471","29","29","29","0.6212527511336219","0.6212527511336219","0.6212527511336219","29","29","29"
"1500","1.024600774754077","1.024600774754077","1.024600774754077","30","30","30","0.624773179512492","0.624773179512492","0.624773179512492","30","30","30","0.6311516126185944","0.6311516126185944","0.6311516126185944","30","30","30","0.6039333095567678","0.6039333095567678","0.6039333095567678","30","30","30"
"1550","1.0277515969487134","1.0277515969487134","1.0277515969487134","31","31","31","0.6264790564471765","0.6264790564471765","0.6264790564471765","31","31","31","0.6357191138758687","0.6357191138758687","0.6357191138758687","31","31","31","0.6091981957362792","0.6091981957362792","0.6091981957362792","31","31","31"
"1600","1.0243161415660447","1.0243161415660447","1.0243161415660447","32","32","32","0.6284984719024553","0.6284984719024553","0.6284984719024553","32","32","32","0.6375141153548546","0.6375141153548546","0.6375141153548546","32","32","32","0.611866372334526","0.611866372334526","0.611866372334526","32","32","32"
"1650","1.0235412537879318","1.0235412537879318","1.0235412537879318","33","33","33","0.6149700134049952","0.6149700134049952","0.6149700134049952","33","33","33","0.623248283960874","0.623248283960874","0.623248283960874","33","33","33","0.599754070254974","0.599754070254974","0.599754070254974","33","33","33"
