"iter","env2_sgd_2500-3000 - EMA/KL_Div","env2_sgd_2500-3000 - EMA/KL_Div__MIN","env2_sgd_2500-3000 - EMA/KL_Div__MAX","env2_sgd_2500-3000 - _step","env2_sgd_2500-3000 - _step__MIN","env2_sgd_2500-3000 - _step__MAX","env2_lion_shock_2500-3000 - EMA/KL_Div","env2_lion_shock_2500-3000 - EMA/KL_Div__MIN","env2_lion_shock_2500-3000 - EMA/KL_Div__MAX","env2_lion_shock_2500-3000 - _step","env2_lion_shock_2500-3000 - _step__MIN","env2_lion_shock_2500-3000 - _step__MAX","env2_muon_shock_2500-3000 - EMA/KL_Div","env2_muon_shock_2500-3000 - EMA/KL_Div__MIN","env2_muon_shock_2500-3000 - EMA/KL_Div__MAX","env2_muon_shock_2500-3000 - _step","env2_muon_shock_2500-3000 - _step__MIN","env2_muon_shock_2500-3000 - _step__MAX","env2_adamw_shock_2500-3000 - EMA/KL_Div","env2_adamw_shock_2500-3000 - EMA/KL_Div__MIN","env2_adamw_shock_2500-3000 - EMA/KL_Div__MAX","env2_adamw_shock_2500-3000 - _step","env2_adamw_shock_2500-3000 - _step__MIN","env2_adamw_shock_2500-3000 - _step__MAX"
"1000","0.0009900532330329058","0.0009900532330329058","0.0009900532330329058","20","20","20","0.0011841588382895754","0.0011841588382895754","0.0011841588382895754","20","20","20","0.001166566256192749","0.001166566256192749","0.001166566256192749","20","20","20","0.006889764300010735","0.006889764300010735","0.006889764300010735","20","20","20"
"1050","0.0011371415313338668","0.0011371415313338668","0.0011371415313338668","21","21","21","0.0010885931954307962","0.0010885931954307962","0.0010885931954307962","21","21","21","0.001312192674418573","0.001312192674418573","0.001312192674418573","21","21","21","0.006934274928315071","0.006934274928315071","0.006934274928315071","21","21","21"
"1100","0.001170401259096898","0.001170401259096898","0.001170401259096898","22","22","22","0.000869048495288281","0.000869048495288281","0.000869048495288281","22","22","22","0.0010741017386037464","0.0010741017386037464","0.0010741017386037464","22","22","22","0.0065899977370127575","0.0065899977370127575","0.0065899977370127575","22","22","22"
"1150","0.0014853377310255378","0.0014853377310255378","0.0014853377310255378","23","23","23","0.001179039597585566","0.001179039597585566","0.001179039597585566","23","23","23","0.0013742198142879627","0.0013742198142879627","0.0013742198142879627","23","23","23","0.007228841031201461","0.007228841031201461","0.007228841031201461","23","23","23"
"1200","0.0010587861273172953","0.0010587861273172953","0.0010587861273172953","24","24","24","0.0008896461588133358","0.0008896461588133358","0.0008896461588133358","24","24","24","0.00119334915551484","0.00119334915551484","0.00119334915551484","24","24","24","0.006197774410803381","0.006197774410803381","0.006197774410803381","24","24","24"
"1250","0.0011281613441246085","0.0011281613441246085","0.0011281613441246085","25","25","25","0.0011396799968471788","0.0011396799968471788","0.0011396799968471788","25","25","25","0.0014912796835605704","0.0014912796835605704","0.0014912796835605704","25","25","25","0.0059008404855265505","0.0059008404855265505","0.0059008404855265505","25","25","25"
"1300","0.0010809516577477","0.0010809516577477","0.0010809516577477","26","26","26","0.0008535912774279334","0.0008535912774279334","0.0008535912774279334","26","26","26","0.0014882728109363442","0.0014882728109363442","0.0014882728109363442","26","26","26","0.005492736721395244","0.005492736721395244","0.005492736721395244","26","26","26"
"1350","0.0010215256327925225","0.0010215256327925225","0.0010215256327925225","27","27","27","0.0010337656663948478","0.0010337656663948478","0.0010337656663948478","27","27","27","0.0015187320825214153","0.0015187320825214153","0.0015187320825214153","27","27","27","0.005427890213437719","0.005427890213437719","0.005427890213437719","27","27","27"
"1400","0.0012471720201163014","0.0012471720201163014","0.0012471720201163014","28","28","28","0.0008706655762279859","0.0008706655762279859","0.0008706655762279859","28","28","28","0.0012959073260753046","0.0012959073260753046","0.0012959073260753046","28","28","28","0.005408967245140603","0.005408967245140603","0.005408967245140603","28","28","28"
"1450","0.0010835683489652018","0.0010835683489652018","0.0010835683489652018","29","29","29","0.0007927172833318376","0.0007927172833318376","0.0007927172833318376","29","29","29","0.0013155378072695662","0.0013155378072695662","0.0013155378072695662","29","29","29","0.004977281397249771","0.004977281397249771","0.004977281397249771","29","29","29"
