"iter","env2_sgd_2500-3000 - EMA/dropped_tokens","env2_sgd_2500-3000 - EMA/dropped_tokens__MIN","env2_sgd_2500-3000 - EMA/dropped_tokens__MAX","env2_sgd_2500-3000 - _step","env2_sgd_2500-3000 - _step__MIN","env2_sgd_2500-3000 - _step__MAX","env2_lion_shock_2500-3000 - EMA/dropped_tokens","env2_lion_shock_2500-3000 - EMA/dropped_tokens__MIN","env2_lion_shock_2500-3000 - EMA/dropped_tokens__MAX","env2_lion_shock_2500-3000 - _step","env2_lion_shock_2500-3000 - _step__MIN","env2_lion_shock_2500-3000 - _step__MAX","env2_muon_shock_2500-3000 - EMA/dropped_tokens","env2_muon_shock_2500-3000 - EMA/dropped_tokens__MIN","env2_muon_shock_2500-3000 - EMA/dropped_tokens__MAX","env2_muon_shock_2500-3000 - _step","env2_muon_shock_2500-3000 - _step__MIN","env2_muon_shock_2500-3000 - _step__MAX","env2_adamw_shock_2500-3000 - EMA/dropped_tokens","env2_adamw_shock_2500-3000 - EMA/dropped_tokens__MIN","env2_adamw_shock_2500-3000 - EMA/dropped_tokens__MAX","env2_adamw_shock_2500-3000 - _step","env2_adamw_shock_2500-3000 - _step__MIN","env2_adamw_shock_2500-3000 - _step__MAX"
"1500","160.91483680216754","160.91483680216754","160.91483680216754","30","30","30","7.721354726068537","7.721354726068537","7.721354726068537","30","30","30","22.012680659144728","22.012680659144728","22.012680659144728","30","30","30","15.427267706288973","15.427267706288973","15.427267706288973","30","30","30"
"1550","327.229318896401","327.229318896401","327.229318896401","31","31","31","45.73979412655414","45.73979412655414","45.73979412655414","31","31","31","62.113448407827754","62.113448407827754","62.113448407827754","31","31","31","58.27950866982137","58.27950866982137","58.27950866982137","31","31","31"
"1600","158.68646635083653","158.68646635083653","158.68646635083653","32","32","32","0.2357326169573611","0.2357326169573611","0.2357326169573611","32","32","32","0.3201187504454199","0.3201187504454199","0.3201187504454199","32","32","32","4.400359486877324","4.400359486877324","4.400359486877324","32","32","32"
"1650","205.31783437601618","205.31783437601618","205.31783437601618","33","33","33","0.001214912916831538","0.001214912916831538","0.001214912916831538","33","33","33","19.501649820079443","19.501649820079443","19.501649820079443","33","33","33","83.92267846362677","83.92267846362677","83.92267846362677","33","33","33"
"1700","233.1581619644278","233.1581619644278","233.1581619644278","34","34","34","0.000006261388069819352","0.000006261388069819352","0.000006261388069819352","34","34","34","33.10050711934456","33.10050711934456","33.10050711934456","34","34","34","42.33251861959774","42.33251861959774","42.33251861959774","34","34","34"
"1750","153.0016447545166","153.0016447545166","153.0016447545166","35","35","35","18.600000032269786","18.600000032269786","18.600000032269786","35","35","35","3.670592572941401","3.670592572941401","3.670592572941401","35","35","35","90.61817228492511","90.61817228492511","90.61817228492511","35","35","35"
"1800","464.68853608341504","464.68853608341504","464.68853608341504","36","36","36","102.99586021902248","102.99586021902248","102.99586021902248","36","36","36","105.81891740899862","105.81891740899862","105.81891740899862","36","36","36","261.6670256896547","261.6670256896547","261.6670256896547","36","36","36"
"1850","293.2949002563926","293.2949002563926","293.2949002563926","37","37","37","0.5308175108534067","0.5308175108534067","0.5308175108534067","37","37","37","28.145366913007955","28.145366913007955","28.145366913007955","37","37","37","20.94857302957254","20.94857302957254","20.94857302957254","37","37","37"
"1900","180.51157598537483","180.51157598537483","180.51157598537483","38","38","38","27.70273571412705","27.70273571412705","27.70273571412705","38","38","38","45.54505489419719","45.54505489419719","45.54505489419719","38","38","38","60.30796423630855","60.30796423630855","60.30796423630855","38","38","38"
"1950","159.23031608494773","159.23031608494773","159.23031608494773","39","39","39","0.1427736724984096","0.1427736724984096","0.1427736724984096","39","39","39","0.23472897472974735","0.23472897472974735","0.23472897472974735","39","39","39","99.31081369088504","99.31081369088504","99.31081369088504","39","39","39"
"2000","179.52063725529237","179.52063725529237","179.52063725529237","40","40","40","0.0007358234135803459","0.0007358234135803459","0.0007358234135803459","40","40","40","21.001209740370403","21.001209740370403","21.001209740370403","40","40","40","14.911825609418871","14.911825609418871","14.911825609418871","40","40","40"
"2050","240.62520900948866","240.62520900948866","240.62520900948866","41","41","41","0.0000037922684658760446","0.0000037922684658760446","0.0000037922684658760446","41","41","41","20.408235514083653","20.408235514083653","20.408235514083653","41","41","41","81.67685219712172","81.67685219712172","81.67685219712172","41","41","41"
"2100","123.74012823644932","123.74012823644932","123.74012823644932","42","42","42","2.0000000195444994","2.0000000195444994","2.0000000195444994","42","42","42","14.005179458217635","14.005179458217635","14.005179458217635","42","42","42","36.12094413586548","36.12094413586548","36.12094413586548","42","42","42"
"2150","138.83772880505563","138.83772880505563","138.83772880505563","43","43","43","0.010307550515368195","0.010307550515368195","0.010307550515368195","43","43","43","12.872179546665832","12.872179546665832","12.872179546665832","43","43","43","1.6861592263524188","1.6861592263524188","1.6861592263524188","43","43","43"
