"iter","env2_sgd_2500-3000 - train/z_loss","env2_sgd_2500-3000 - train/z_loss__MIN","env2_sgd_2500-3000 - train/z_loss__MAX","env2_sgd_2500-3000 - _step","env2_sgd_2500-3000 - _step__MIN","env2_sgd_2500-3000 - _step__MAX","env2_lion_shock_2500-3000 - train/z_loss","env2_lion_shock_2500-3000 - train/z_loss__MIN","env2_lion_shock_2500-3000 - train/z_loss__MAX","env2_lion_shock_2500-3000 - _step","env2_lion_shock_2500-3000 - _step__MIN","env2_lion_shock_2500-3000 - _step__MAX","env2_muon_shock_2500-3000 - train/z_loss","env2_muon_shock_2500-3000 - train/z_loss__MIN","env2_muon_shock_2500-3000 - train/z_loss__MAX","env2_muon_shock_2500-3000 - _step","env2_muon_shock_2500-3000 - _step__MIN","env2_muon_shock_2500-3000 - _step__MAX","env2_adamw_shock_2500-3000 - train/z_loss","env2_adamw_shock_2500-3000 - train/z_loss__MIN","env2_adamw_shock_2500-3000 - train/z_loss__MAX","env2_adamw_shock_2500-3000 - _step","env2_adamw_shock_2500-3000 - _step__MIN","env2_adamw_shock_2500-3000 - _step__MAX"
"1000","0.7472630590200424","0.7472630590200424","0.7472630590200424","20","20","20","1.018633633852005","1.018633633852005","1.018633633852005","20","20","20","1.1140185594558716","1.1140185594558716","1.1140185594558716","20","20","20","0.8589180260896683","0.8589180260896683","0.8589180260896683","20","20","20"
"1050","0.7144351601600647","0.7144351601600647","0.7144351601600647","21","21","21","0.9670949280261993","0.9670949280261993","0.9670949280261993","21","21","21","1.109474390745163","1.109474390745163","1.109474390745163","21","21","21","0.8610965758562088","0.8610965758562088","0.8610965758562088","21","21","21"
"1100","0.6876997798681259","0.6876997798681259","0.6876997798681259","22","22","22","0.8681809604167938","0.8681809604167938","0.8681809604167938","22","22","22","1.0799838602542877","1.0799838602542877","1.0799838602542877","22","22","22","0.8513556122779846","0.8513556122779846","0.8513556122779846","22","22","22"
"1150","0.9320426285266876","0.9320426285266876","0.9320426285266876","23","23","23","0.83097043633461","0.83097043633461","0.83097043633461","23","23","23","1.0105038285255432","1.0105038285255432","1.0105038285255432","23","23","23","0.7880904525518417","0.7880904525518417","0.7880904525518417","23","23","23"
"1200","0.6860453486442566","0.6860453486442566","0.6860453486442566","24","24","24","0.8418959528207779","0.8418959528207779","0.8418959528207779","24","24","24","1.1683087348937988","1.1683087348937988","1.1683087348937988","24","24","24","0.7929690480232239","0.7929690480232239","0.7929690480232239","24","24","24"
"1250","0.634707897901535","0.634707897901535","0.634707897901535","25","25","25","0.768475204706192","0.768475204706192","0.768475204706192","25","25","25","1.0627591609954834","1.0627591609954834","1.0627591609954834","25","25","25","0.7392162531614304","0.7392162531614304","0.7392162531614304","25","25","25"
"1300","0.5687635093927383","0.5687635093927383","0.5687635093927383","26","26","26","0.7462952733039856","0.7462952733039856","0.7462952733039856","26","26","26","1.0393148511648178","1.0393148511648178","1.0393148511648178","26","26","26","0.7562607228755951","0.7562607228755951","0.7562607228755951","26","26","26"
"1350","0.6767043173313141","0.6767043173313141","0.6767043173313141","27","27","27","0.7025078982114792","0.7025078982114792","0.7025078982114792","27","27","27","0.9895235151052475","0.9895235151052475","0.9895235151052475","27","27","27","0.6932905614376068","0.6932905614376068","0.6932905614376068","27","27","27"
"1400","0.62517911195755","0.62517911195755","0.62517911195755","28","28","28","0.7111245542764664","0.7111245542764664","0.7111245542764664","28","28","28","1.033912554383278","1.033912554383278","1.033912554383278","28","28","28","0.6860571056604385","0.6860571056604385","0.6860571056604385","28","28","28"
"1450","0.6523986756801605","0.6523986756801605","0.6523986756801605","29","29","29","0.6475170403718948","0.6475170403718948","0.6475170403718948","29","29","29","1.06742325425148","1.06742325425148","1.06742325425148","29","29","29","0.6648811846971512","0.6648811846971512","0.6648811846971512","29","29","29"
