"iter","env1_muon - EMA/Grad_Norm","env1_muon - EMA/Grad_Norm__MIN","env1_muon - EMA/Grad_Norm__MAX","env1_muon - _step","env1_muon - _step__MIN","env1_muon - _step__MAX","env1_lion - EMA/Grad_Norm","env1_lion - EMA/Grad_Norm__MIN","env1_lion - EMA/Grad_Norm__MAX","env1_lion - _step","env1_lion - _step__MIN","env1_lion - _step__MAX","env1_adam - EMA/Grad_Norm","env1_adam - EMA/Grad_Norm__MIN","env1_adam - EMA/Grad_Norm__MAX","env1_adam - _step","env1_adam - _step__MIN","env1_adam - _step__MAX"," env1_sgd - EMA/Grad_Norm"," env1_sgd - EMA/Grad_Norm__MIN"," env1_sgd - EMA/Grad_Norm__MAX"," env1_sgd - _step"," env1_sgd - _step__MIN"," env1_sgd - _step__MAX","env1_adamw - EMA/Grad_Norm","env1_adamw - EMA/Grad_Norm__MIN","env1_adamw - EMA/Grad_Norm__MAX","env1_adamw - _step","env1_adamw - _step__MIN","env1_adamw - _step__MAX"
"1750","0.5309701140338003","0.5309701140338003","0.5309701140338003","35","35","35","0.5247152711136837","0.5247152711136837","0.5247152711136837","35","35","35","1.275034896794197","1.275034896794197","1.275034896794197","35","35","35","0.5690550252277297","0.5690550252277297","0.5690550252277297","35","35","35","1.2586407587856419","1.2586407587856419","1.2586407587856419","1700","1700","1700"
"1800","0.5129760832864974","0.5129760832864974","0.5129760832864974","36","36","36","0.5149514400492011","0.5149514400492011","0.5149514400492011","36","36","36","1.3516214993582172","1.3516214993582172","1.3516214993582172","36","36","36","0.49488190186126574","0.49488190186126574","0.49488190186126574","36","36","36","1.4809302144086993","1.4809302144086993","1.4809302144086993","1750","1750","1750"
"1850","0.4949706555547813","0.4949706555547813","0.4949706555547813","37","37","37","0.48822746655419097","0.48822746655419097","0.48822746655419097","37","37","37","1.2727582587247195","1.2727582587247195","1.2727582587247195","37","37","37","0.3932729488780614","0.3932729488780614","0.3932729488780614","37","37","37","1.3557778239202","1.3557778239202","1.3557778239202","1800","1800","1800"
"1900","0.5022963693655791","0.5022963693655791","0.5022963693655791","38","38","38","0.4805284128892259","0.4805284128892259","0.4805284128892259","38","38","38","1.3047360581699738","1.3047360581699738","1.3047360581699738","38","38","38","0.5101358175312553","0.5101358175312553","0.5101358175312553","38","38","38","1.2796671889268667","1.2796671889268667","1.2796671889268667","1850","1850","1850"
"1950","0.4719124358397417","0.4719124358397417","0.4719124358397417","39","39","39","0.46552549373720475","0.46552549373720475","0.46552549373720475","39","39","39","1.1874642469415868","1.1874642469415868","1.1874642469415868","39","39","39","0.6928027958028569","0.6928027958028569","0.6928027958028569","39","39","39","1.296588092648929","1.296588092648929","1.296588092648929","1900","1900","1900"
"2000","0.4493899236911032","0.4493899236911032","0.4493899236911032","40","40","40","0.4708484131726628","0.4708484131726628","0.4708484131726628","40","40","40","1.3004455486981032","1.3004455486981032","1.3004455486981032","40","40","40","0.4660159750078865","0.4660159750078865","0.4660159750078865","40","40","40","1.1201294859299846","1.1201294859299846","1.1201294859299846","1950","1950","1950"
"2050","0.4478016327551739","0.4478016327551739","0.4478016327551739","41","41","41","0.4804226796895177","0.4804226796895177","0.4804226796895177","41","41","41","1.3293444335707005","1.3293444335707005","1.3293444335707005","41","41","41","0.5969485219751627","0.5969485219751627","0.5969485219751627","41","41","41","1.2646327970408107","1.2646327970408107","1.2646327970408107","2000","2000","2000"
"2100","0.45001688368521037","0.45001688368521037","0.45001688368521037","42","42","42","0.43980240841025964","0.43980240841025964","0.43980240841025964","42","42","42","1.2264518680337084","1.2264518680337084","1.2264518680337084","42","42","42","0.5047470499981536","0.5047470499981536","0.5047470499981536","42","42","42","1.2562481167214365","1.2562481167214365","1.2562481167214365","2050","2050","2050"
"2150","0.42717391819224926","0.42717391819224926","0.42717391819224926","43","43","43","0.4568786546399619","0.4568786546399619","0.4568786546399619","43","43","43","1.321736506063793","1.321736506063793","1.321736506063793","43","43","43","0.5687564174943686","0.5687564174943686","0.5687564174943686","43","43","43","1.2205785967376523","1.2205785967376523","1.2205785967376523","2100","2100","2100"
"2200","0.4114816899421217","0.4114816899421217","0.4114816899421217","44","44","44","0.45833901200048743","0.45833901200048743","0.45833901200048743","44","44","44","1.1850429367243132","1.1850429367243132","1.1850429367243132","44","44","44","0.5903612937634127","0.5903612937634127","0.5903612937634127","44","44","44","1.0696114864204689","1.0696114864204689","1.0696114864204689","2150","2150","2150"
"2250","0.4027905429349895","0.4027905429349895","0.4027905429349895","45","45","45","0.44771905864840184","0.44771905864840184","0.44771905864840184","45","45","45","0.9813162504326602","0.9813162504326602","0.9813162504326602","45","45","45","0.501502801792234","0.501502801792234","0.501502801792234","45","45","45","1.0069288680676645","1.0069288680676645","1.0069288680676645","2200","2200","2200"
"2300","0.43196087510640285","0.43196087510640285","0.43196087510640285","46","46","46","0.4732426212295201","0.4732426212295201","0.4732426212295201","46","46","46","1.0398082958074295","1.0398082958074295","1.0398082958074295","46","46","46","0.5009454403387963","0.5009454403387963","0.5009454403387963","46","46","46","1.0546022669912993","1.0546022669912993","1.0546022669912993","2250","2250","2250"
"2350","0.4037910710324775","0.4037910710324775","0.4037910710324775","47","47","47","0.4644039876470092","0.4644039876470092","0.4644039876470092","47","47","47","1.1216767261990048","1.1216767261990048","1.1216767261990048","47","47","47","0.4614315063460712","0.4614315063460712","0.4614315063460712","47","47","47","0.9896919875713569","0.9896919875713569","0.9896919875713569","2300","2300","2300"
"2400","0.3857987351474536","0.3857987351474536","0.3857987351474536","48","48","48","0.4527143777287858","0.4527143777287858","0.4527143777287858","48","48","48","0.9997037625940476","0.9997037625940476","0.9997037625940476","48","48","48","0.541145183669299","0.541145183669299","0.541145183669299","48","48","48","1.042510610045001","1.042510610045001","1.042510610045001","2350","2350","2350"
"2450","0.3780780549584383","0.3780780549584383","0.3780780549584383","49","49","49","0.4592889339385609","0.4592889339385609","0.4592889339385609","49","49","49","1.0065224875604786","1.0065224875604786","1.0065224875604786","49","49","49","0.5616362894759227","0.5616362894759227","0.5616362894759227","49","49","49","0.9909798267824318","0.9909798267824318","0.9909798267824318","2400","2400","2400"
"2500","0.3548247467736543","0.3548247467736543","0.3548247467736543","50","50","50","0.4718474748108691","0.4718474748108691","0.4718474748108691","50","50","50","0.9397934312059387","0.9397934312059387","0.9397934312059387","50","50","50","0.5944473454239081","0.5944473454239081","0.5944473454239081","50","50","50","0.9017367744172501","0.9017367744172501","0.9017367744172501","2450","2450","2450"
"2550","0.36426475403306774","0.36426475403306774","0.36426475403306774","51","51","51","0.4884188133477877","0.4884188133477877","0.4884188133477877","51","51","51","0.96055934677","0.96055934677","0.96055934677","51","51","51","0.509127944039588","0.509127944039588","0.509127944039588","51","51","51","0.8545551054424445","0.8545551054424445","0.8545551054424445","2500","2500","2500"
"2600","0.351728560062313","0.351728560062313","0.351728560062313","52","52","52","0.505220477605913","0.505220477605913","0.505220477605913","52","52","52","0.8849819290745297","0.8849819290745297","0.8849819290745297","52","52","52","0.7472989006984294","0.7472989006984294","0.7472989006984294","52","52","52","0.88778863741905","0.88778863741905","0.88778863741905","2550","2550","2550"
"2650","0.35618613915602165","0.35618613915602165","0.35618613915602165","53","53","53","0.5211918290674299","0.5211918290674299","0.5211918290674299","53","53","53","0.8863494272560953","0.8863494272560953","0.8863494272560953","53","53","53","0.7596322009280426","0.7596322009280426","0.7596322009280426","53","53","53","0.8781922905262052","0.8781922905262052","0.8781922905262052","2600","2600","2600"
"2700","0.3844396160995261","0.3844396160995261","0.3844396160995261","54","54","54","0.5295677596276989","0.5295677596276989","0.5295677596276989","54","54","54","0.8489882921813411","0.8489882921813411","0.8489882921813411","54","54","54","0.6201482354425425","0.6201482354425425","0.6201482354425425","54","54","54","0.7777980760835532","0.7777980760835532","0.7777980760835532","2650","2650","2650"
"2750","0.34628097665006347","0.34628097665006347","0.34628097665006347","55","55","55","0.5394533960314489","0.5394533960314489","0.5394533960314489","55","55","55","0.8232027744855233","0.8232027744855233","0.8232027744855233","55","55","55","0.7536973133891122","0.7536973133891122","0.7536973133891122","55","55","55","0.7905652814641968","0.7905652814641968","0.7905652814641968","2700","2700","2700"
"2800","0.34518557280685547","0.34518557280685547","0.34518557280685547","56","56","56","0.5661816724638661","0.5661816724638661","0.5661816724638661","56","56","56","0.8329081471638636","0.8329081471638636","0.8329081471638636","56","56","56","0.6297148319779466","0.6297148319779466","0.6297148319779466","56","56","56","0.8093441663178902","0.8093441663178902","0.8093441663178902","2750","2750","2750"
"2850","0.34742633443168086","0.34742633443168086","0.34742633443168086","57","57","57","0.5615757095683578","0.5615757095683578","0.5615757095683578","57","57","57","0.7871250942234902","0.7871250942234902","0.7871250942234902","57","57","57","0.7094543900274266","0.7094543900274266","0.7094543900274266","57","57","57","0.8312395398758116","0.8312395398758116","0.8312395398758116","2800","2800","2800"
"2900","0.3404151108282113","0.3404151108282113","0.3404151108282113","58","58","58","0.5638545348427669","0.5638545348427669","0.5638545348427669","58","58","58","0.8558371490308572","0.8558371490308572","0.8558371490308572","58","58","58","0.7030480403833311","0.7030480403833311","0.7030480403833311","58","58","58","0.7672845596609714","0.7672845596609714","0.7672845596609714","2850","2850","2850"
"2950","0.35599479924780564","0.35599479924780564","0.35599479924780564","59","59","59","0.5659639162299507","0.5659639162299507","0.5659639162299507","59","59","59","0.7926478301360302","0.7926478301360302","0.7926478301360302","59","59","59","0.7399723892406715","0.7399723892406715","0.7399723892406715","59","59","59","0.8033375449382412","0.8033375449382412","0.8033375449382412","2900","2900","2900"
"3000","0.3577866890964873","0.3577866890964873","0.3577866890964873","60","60","60","0.5574240796696972","0.5574240796696972","0.5574240796696972","60","60","60","0.7736624588054142","0.7736624588054142","0.7736624588054142","60","60","60","0.7182897186943195","0.7182897186943195","0.7182897186943195","60","60","60","0.7584714529740145","0.7584714529740145","0.7584714529740145","2950","2950","2950"
"3050","0.36164496523379813","0.36164496523379813","0.36164496523379813","61","61","61","0.5649238545004639","0.5649238545004639","0.5649238545004639","61","61","61","0.7945621321528972","0.7945621321528972","0.7945621321528972","61","61","61","0.7837700550083647","0.7837700550083647","0.7837700550083647","61","61","61","0.8291435853840551","0.8291435853840551","0.8291435853840551","3000","3000","3000"
"3100","0.3339108697468927","0.3339108697468927","0.3339108697468927","62","62","62","0.5753506524221583","0.5753506524221583","0.5753506524221583","62","62","62","0.7606548388001628","0.7606548388001628","0.7606548388001628","62","62","62","0.8394259108450455","0.8394259108450455","0.8394259108450455","62","62","62","0.743537138635115","0.743537138635115","0.743537138635115","3050","3050","3050"
"3150","0.34893370118858086","0.34893370118858086","0.34893370118858086","63","63","63","0.5673511370998076","0.5673511370998076","0.5673511370998076","63","63","63","0.7583171311478722","0.7583171311478722","0.7583171311478722","63","63","63","0.5637242811999627","0.5637242811999627","0.5637242811999627","63","63","63","0.7626425920067261","0.7626425920067261","0.7626425920067261","3100","3100","3100"
"3200","0.33169140386243573","0.33169140386243573","0.33169140386243573","64","64","64","0.5547168464659753","0.5547168464659753","0.5547168464659753","64","64","64","0.8003117892264934","0.8003117892264934","0.8003117892264934","64","64","64","0.6754784315250019","0.6754784315250019","0.6754784315250019","64","64","64","0.7533473061712166","0.7533473061712166","0.7533473061712166","3150","3150","3150"
