"iter","env1_muon - EMA/CV","env1_muon - EMA/CV__MIN","env1_muon - EMA/CV__MAX","env1_muon - _step","env1_muon - _step__MIN","env1_muon - _step__MAX","env1_lion - EMA/CV","env1_lion - EMA/CV__MIN","env1_lion - EMA/CV__MAX","env1_lion - _step","env1_lion - _step__MIN","env1_lion - _step__MAX","env1_adam - EMA/CV","env1_adam - EMA/CV__MIN","env1_adam - EMA/CV__MAX","env1_adam - _step","env1_adam - _step__MIN","env1_adam - _step__MAX"," env1_sgd - EMA/CV"," env1_sgd - EMA/CV__MIN"," env1_sgd - EMA/CV__MAX"," env1_sgd - _step"," env1_sgd - _step__MIN"," env1_sgd - _step__MAX","env1_adamw - EMA/CV","env1_adamw - EMA/CV__MIN","env1_adamw - EMA/CV__MAX","env1_adamw - _step","env1_adamw - _step__MIN","env1_adamw - _step__MAX"
"2850","0.5172579496404879","0.5172579496404879","0.5172579496404879","57","57","57","0.821189378731278","0.821189378731278","0.821189378731278","57","57","57","1.096158045439079","1.096158045439079","1.096158045439079","57","57","57","1.1073856922956318","1.1073856922956318","1.1073856922956318","57","57","57","0.9813654803162989","0.9813654803162989","0.9813654803162989","2800","2800","2800"
"2900","0.5331388273608503","0.5331388273608503","0.5331388273608503","58","58","58","0.8575725042537041","0.8575725042537041","0.8575725042537041","58","58","58","1.1321910885858943","1.1321910885858943","1.1321910885858943","58","58","58","1.1062818278201045","1.1062818278201045","1.1062818278201045","58","58","58","0.9967436170779351","0.9967436170779351","0.9967436170779351","2850","2850","2850"
"2950","0.5237459750918348","0.5237459750918348","0.5237459750918348","59","59","59","0.8292503746460157","0.8292503746460157","0.8292503746460157","59","59","59","1.1307412002107544","1.1307412002107544","1.1307412002107544","59","59","59","1.1108374480697842","1.1108374480697842","1.1108374480697842","59","59","59","1.0288925638693398","1.0288925638693398","1.0288925638693398","2900","2900","2900"
"3000","0.5194735164237265","0.5194735164237265","0.5194735164237265","60","60","60","0.8595467099388625","0.8595467099388625","0.8595467099388625","60","60","60","1.1333960666157596","1.1333960666157596","1.1333960666157596","60","60","60","1.1405373341637284","1.1405373341637284","1.1405373341637284","60","60","60","1.049021346820943","1.049021346820943","1.049021346820943","2950","2950","2950"
"3050","0.5408928926239861","0.5408928926239861","0.5408928926239861","61","61","61","0.8507386146132282","0.8507386146132282","0.8507386146132282","61","61","61","1.1635134107986445","1.1635134107986445","1.1635134107986445","61","61","61","1.100543087593465","1.100543087593465","1.100543087593465","61","61","61","1.0050237121012526","1.0050237121012526","1.0050237121012526","3000","3000","3000"
"3100","0.5135983399221239","0.5135983399221239","0.5135983399221239","62","62","62","0.8366739839771249","0.8366739839771249","0.8366739839771249","62","62","62","1.1871221630261204","1.1871221630261204","1.1871221630261204","62","62","62","1.0737738959709373","1.0737738959709373","1.0737738959709373","62","62","62","1.0354368113922339","1.0354368113922339","1.0354368113922339","3050","3050","3050"
"3150","0.5079919224176052","0.5079919224176052","0.5079919224176052","63","63","63","0.8244342820769678","0.8244342820769678","0.8244342820769678","63","63","63","1.1712315476727424","1.1712315476727424","1.1712315476727424","63","63","63","1.0555020138249078","1.0555020138249078","1.0555020138249078","63","63","63","1.0724004172079253","1.0724004172079253","1.0724004172079253","3100","3100","3100"
"3200","0.5260912129478653","0.5260912129478653","0.5260912129478653","64","64","64","0.8623109962347049","0.8623109962347049","0.8623109962347049","64","64","64","1.1772593549060117","1.1772593549060117","1.1772593549060117","64","64","64","1.074488208159072","1.074488208159072","1.074488208159072","64","64","64","1.0796647018270937","1.0796647018270937","1.0796647018270937","3150","3150","3150"
"3250","0.5172846372378384","0.5172846372378384","0.5172846372378384","65","65","65","0.8453117530393819","0.8453117530393819","0.8453117530393819","65","65","65","1.1657726157845154","1.1657726157845154","1.1657726157845154","65","65","65","1.0473249851619784","1.0473249851619784","1.0473249851619784","65","65","65","1.0559866150561539","1.0559866150561539","1.0559866150561539","3200","3200","3200"
"3300","0.5270180471290777","0.5270180471290777","0.5270180471290777","66","66","66","0.8223838518751109","0.8223838518751109","0.8223838518751109","66","66","66","1.1807992661269442","1.1807992661269442","1.1807992661269442","66","66","66","1.0492839322755614","1.0492839322755614","1.0492839322755614","66","66","66","1.0575079045328117","1.0575079045328117","1.0575079045328117","3250","3250","3250"
