"iter","env1_muon - train/loss_instant","env1_muon - train/loss_instant__MIN","env1_muon - train/loss_instant__MAX","env1_muon - _step","env1_muon - _step__MIN","env1_muon - _step__MAX","env1_lion - train/loss_instant","env1_lion - train/loss_instant__MIN","env1_lion - train/loss_instant__MAX","env1_lion - _step","env1_lion - _step__MIN","env1_lion - _step__MAX","env1_adam - train/loss_instant","env1_adam - train/loss_instant__MIN","env1_adam - train/loss_instant__MAX","env1_adam - _step","env1_adam - _step__MIN","env1_adam - _step__MAX"," env1_sgd - train/loss_instant"," env1_sgd - train/loss_instant__MIN"," env1_sgd - train/loss_instant__MAX"," env1_sgd - _step"," env1_sgd - _step__MIN"," env1_sgd - _step__MAX","env1_adamw - train/loss_instant","env1_adamw - train/loss_instant__MIN","env1_adamw - train/loss_instant__MAX","env1_adamw - _step","env1_adamw - _step__MIN","env1_adamw - _step__MAX"
"2450","4.578001499176025","4.578001499176025","4.578001499176025","49","49","49","4.634428977966309","4.634428977966309","4.634428977966309","49","49","49","4.483193874359131","4.483193874359131","4.483193874359131","49","49","49","6.721294403076172","6.721294403076172","6.721294403076172","49","49","49","4.602807998657227","4.602807998657227","4.602807998657227","2400","2400","2400"
"2500","4.566751956939697","4.566751956939697","4.566751956939697","50","50","50","4.689944744110107","4.689944744110107","4.689944744110107","50","50","50","4.558901786804199","4.558901786804199","4.558901786804199","50","50","50","6.749344825744629","6.749344825744629","6.749344825744629","50","50","50","4.629055023193359","4.629055023193359","4.629055023193359","2451","2451","2451"
"2550","4.292986869812012","4.292986869812012","4.292986869812012","51","51","51","4.391195774078369","4.391195774078369","4.391195774078369","51","51","51","4.315288066864014","4.315288066864014","4.315288066864014","51","51","51","6.468371391296387","6.468371391296387","6.468371391296387","51","51","51","4.491682529449463","4.491682529449463","4.491682529449463","2500","2500","2500"
"2600","4.65613317489624","4.65613317489624","4.65613317489624","52","52","52","4.8259196281433105","4.8259196281433105","4.8259196281433105","52","52","52","4.7853851318359375","4.7853851318359375","4.7853851318359375","52","52","52","6.866678714752197","6.866678714752197","6.866678714752197","52","52","52","4.419228553771973","4.419228553771973","4.419228553771973","2550","2550","2550"
"2650","4.436565399169922","4.436565399169922","4.436565399169922","53","53","53","4.485065460205078","4.485065460205078","4.485065460205078","53","53","53","4.405476093292236","4.405476093292236","4.405476093292236","53","53","53","6.610418796539307","6.610418796539307","6.610418796539307","53","53","53","4.41646671295166","4.41646671295166","4.41646671295166","2600","2600","2600"
"2700","4.652374267578125","4.652374267578125","4.652374267578125","54","54","54","4.680949687957764","4.680949687957764","4.680949687957764","54","54","54","4.60275936126709","4.60275936126709","4.60275936126709","54","54","54","6.722052574157715","6.722052574157715","6.722052574157715","54","54","54","4.541675567626953","4.541675567626953","4.541675567626953","2650","2650","2650"
"2750","4.356571197509766","4.356571197509766","4.356571197509766","55","55","55","4.487852096557617","4.487852096557617","4.487852096557617","55","55","55","4.524502754211426","4.524502754211426","4.524502754211426","55","55","55","6.914377689361572","6.914377689361572","6.914377689361572","55","55","55","4.546421051025391","4.546421051025391","4.546421051025391","2701","2701","2701"
"2800","4.604312896728516","4.604312896728516","4.604312896728516","56","56","56","4.631814956665039","4.631814956665039","4.631814956665039","56","56","56","4.588778972625732","4.588778972625732","4.588778972625732","56","56","56","6.67964506149292","6.67964506149292","6.67964506149292","56","56","56","4.396255970001221","4.396255970001221","4.396255970001221","2750","2750","2750"
"2850","4.5086188316345215","4.5086188316345215","4.5086188316345215","57","57","57","4.53621768951416","4.53621768951416","4.53621768951416","57","57","57","4.49419641494751","4.49419641494751","4.49419641494751","57","57","57","6.6701765060424805","6.6701765060424805","6.6701765060424805","57","57","57","4.452001571655273","4.452001571655273","4.452001571655273","2800","2800","2800"
"2900","4.429161071777344","4.429161071777344","4.429161071777344","58","58","58","4.42144775390625","4.42144775390625","4.42144775390625","58","58","58","4.413458347320557","4.413458347320557","4.413458347320557","58","58","58","6.6053032875061035","6.6053032875061035","6.6053032875061035","58","58","58","4.575672626495361","4.575672626495361","4.575672626495361","2850","2850","2850"
