"iter","env1_muon - global_router/kl_divergence_from_uni","env1_muon - global_router/kl_divergence_from_uni__MIN","env1_muon - global_router/kl_divergence_from_uni__MAX","env1_muon - _step","env1_muon - _step__MIN","env1_muon - _step__MAX","env1_lion - global_router/kl_divergence_from_uni","env1_lion - global_router/kl_divergence_from_uni__MIN","env1_lion - global_router/kl_divergence_from_uni__MAX","env1_lion - _step","env1_lion - _step__MIN","env1_lion - _step__MAX","env1_adam - global_router/kl_divergence_from_uni","env1_adam - global_router/kl_divergence_from_uni__MIN","env1_adam - global_router/kl_divergence_from_uni__MAX","env1_adam - _step","env1_adam - _step__MIN","env1_adam - _step__MAX"," env1_sgd - global_router/kl_divergence_from_uni"," env1_sgd - global_router/kl_divergence_from_uni__MIN"," env1_sgd - global_router/kl_divergence_from_uni__MAX"," env1_sgd - _step"," env1_sgd - _step__MIN"," env1_sgd - _step__MAX","env1_adamw - global_router/kl_divergence_from_uni","env1_adamw - global_router/kl_divergence_from_uni__MIN","env1_adamw - global_router/kl_divergence_from_uni__MAX","env1_adamw - _step","env1_adamw - _step__MIN","env1_adamw - _step__MAX"
"2400","0.054636066779494286","0.054636066779494286","0.054636066779494286","48","48","48","0.02779129147529602","0.02779129147529602","0.02779129147529602","48","48","48","0.031027603894472122","0.031027603894472122","0.031027603894472122","48","48","48","0.09127852693200111","0.09127852693200111","0.09127852693200111","48","48","48","0.02477907110005617","0.02477907110005617","0.02477907110005617","2350","2350","2350"
"2450","0.05790708400309086","0.05790708400309086","0.05790708400309086","49","49","49","0.02162834443151951","0.02162834443151951","0.02162834443151951","49","49","49","0.03398238122463226","0.03398238122463226","0.03398238122463226","49","49","49","0.09255188703536987","0.09255188703536987","0.09255188703536987","49","49","49","0.030958257149904966","0.030958257149904966","0.030958257149904966","2400","2400","2400"
"2500","0.04931412450969219","0.04931412450969219","0.04931412450969219","50","50","50","0.023467306047677994","0.023467306047677994","0.023467306047677994","50","50","50","0.028565180022269487","0.028565180022269487","0.028565180022269487","50","50","50","0.087040726095438","0.087040726095438","0.087040726095438","50","50","50","0.023731328547000885","0.023731328547000885","0.023731328547000885","2451","2451","2451"
"2550","0.05683430843055248","0.05683430843055248","0.05683430843055248","51","51","51","0.024569083005189896","0.024569083005189896","0.024569083005189896","51","51","51","0.04396463930606842","0.04396463930606842","0.04396463930606842","51","51","51","0.09351234510540962","0.09351234510540962","0.09351234510540962","51","51","51","0.032509890384972095","0.032509890384972095","0.032509890384972095","2500","2500","2500"
"2600","0.04405323788523674","0.04405323788523674","0.04405323788523674","52","52","52","0.025474591180682182","0.025474591180682182","0.025474591180682182","52","52","52","0.037747034803032875","0.037747034803032875","0.037747034803032875","52","52","52","0.08470559492707253","0.08470559492707253","0.08470559492707253","52","52","52","0.027904102578759193","0.027904102578759193","0.027904102578759193","2550","2550","2550"
"2650","0.05892922915518284","0.05892922915518284","0.05892922915518284","53","53","53","0.025347735732793808","0.025347735732793808","0.025347735732793808","53","53","53","0.03270591236650944","0.03270591236650944","0.03270591236650944","53","53","53","0.09362060576677322","0.09362060576677322","0.09362060576677322","53","53","53","0.025011463556438684","0.025011463556438684","0.025011463556438684","2600","2600","2600"
"2700","0.06245330721139908","0.06245330721139908","0.06245330721139908","54","54","54","0.0216173455119133","0.0216173455119133","0.0216173455119133","54","54","54","0.03545201662927866","0.03545201662927866","0.03545201662927866","54","54","54","0.09521012008190155","0.09521012008190155","0.09521012008190155","54","54","54","0.030738611705601215","0.030738611705601215","0.030738611705601215","2650","2650","2650"
"2750","0.04386475868523121","0.04386475868523121","0.04386475868523121","55","55","55","0.021360153332352638","0.021360153332352638","0.021360153332352638","55","55","55","0.036084672436118126","0.036084672436118126","0.036084672436118126","55","55","55","0.08625565469264984","0.08625565469264984","0.08625565469264984","55","55","55","0.029312438797205687","0.029312438797205687","0.029312438797205687","2701","2701","2701"
"2800","0.04795973375439644","0.04795973375439644","0.04795973375439644","56","56","56","0.02727573923766613","0.02727573923766613","0.02727573923766613","56","56","56","0.03645541425794363","0.03645541425794363","0.03645541425794363","56","56","56","0.09044218435883522","0.09044218435883522","0.09044218435883522","56","56","56","0.024201818741858006","0.024201818741858006","0.024201818741858006","2750","2750","2750"
"2850","0.04872481897473335","0.04872481897473335","0.04872481897473335","57","57","57","0.025389600545167923","0.025389600545167923","0.025389600545167923","57","57","57","0.03239064756780863","0.03239064756780863","0.03239064756780863","57","57","57","0.09134279936552048","0.09134279936552048","0.09134279936552048","57","57","57","0.027549991384148598","0.027549991384148598","0.027549991384148598","2800","2800","2800"
